test_name,C++Kernel,C++E2E,C++7BKernel,C++7BE2E,NumPy,MLX,TensorflowKernel,TensorflowE2E,PyTorchKernel,PyTorchE2E,GaudiKernel,GaudiE2E,Gemmini,NP Speedup Kernel,NP Speedup E2E,MLX Speedup Kernel,MLX Speedup E2E,TF Speedup Kernel,TF Speedup E2E,PT Speedup Kernel,PT Speedup E2E,Gaudi Speedup Kernel ,Gaudi Speedup E2E,Gemmini Speedup Kernel,Gemmini Speedup E2E,C++GemminiKernel,C++GemminiE2E
transformer1,142.126,4497.98,29.8187,1168.9,72.15670701,32.2558795,1.50E+02,3.10E+03,1.70E+01,3.20E+03,1.80E+01,3.00E+03,,1.969685229,62.33627041,0.9244423176,36.23835462,9.48E-01,1.45E+00,8.36E+00,1.41E+00,7.90E+00,1.50E+00,,,,
transformer2,469.008,1955.78,79.8795,381.335,506.8187345,37.3918708,6.00E+01,1.60E+03,5.5,1.60E+03,7.8,1.90E+03,,0.9253959416,3.858933909,2.136279846,10.19833969,7.82E+00,1.22E+00,85.27418182,1.22E+00,60.12923077,1.03E+00,,,,
transformer3,410593,463104,65399.8,89535.2,216316.8977,2446.979579,5.00E+02,4.40E+04,1.00E+03,7.20E+04,2.80E+02,3.90E+04,,1.898108767,2.140859105,26.72674531,36.59008876,8.21E+02,1.05E+01,4.11E+02,6.43E+00,1.47E+03,1.19E+01,,,,
transformer4,190601,305281,35779.9,53963.9,64088.16751,5759.429996,3.30E+02,7.00E+04,5.50E+01,9.30E+04,1.30E+02,5.60E+04,,2.974043531,4.763453409,6.212402968,9.369659851,5.78E+02,4.36E+00,3.47E+03,3.28E+00,1.47E+03,5.45E+00,,,,
Average Llama per backend,,,,,,,,,,,,,,5.347786468,8.017027454,20.10152945,23.97089362,2.47E+02,4.03E+00,1.37E+03,3.51E+00,1129.666425,4.95E+00,1.80101858,3.710264682,,
GMean Llama per backend,,,,,,,,,,,,,,2.701178089,4.613193285,11.33931461,16.88034359,1.42E+02,3.60E+00,1.07E+03,3.31E+00,823.5641227,4.57E+00,0.03654916668,0.06230102876,,
blas,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot,947.305,3579.74,,,1747.994648,2570.480117,7937.341333,9560.412186,550.0344418,5575.06284,621.048,10076.938,182.82,0.5419381581,2.047912449,0.3685323196,1.392634775,0.1193478975,0.3744336468,1.722264877,0.642098592,1.525332986,0.355240848,0.00001203369434,0.00004594683295,0.0022,0.0084
gemv,380.938,1498.81,,,1408.103843,2142.017448,8329.588298,9611.966265,497.3397315,3661.698798,577.71,5369.68,594.84,0.2705326044,1.064417235,0.1778407549,0.6997188568,0.04573311266,0.155931675,0.7659512722,0.4093209417,0.6593931211,0.2791246406,1.006290767,5.257144778,598.582,3127.16
Average blas per backend,,,,,,,,,,,,,,0.8124707625,3.112329684,0.5463730745,2.092353632,0.1650810102,0.5303653218,2.488216149,1.051419534,2.184726107,0.6343654885,1.006302801,5.257190725,,
GMean blas per backend,,,,,,,,,,,,,,0.382899388,1.476425855,0.2560079412,0.9871437651,0.07387929915,0.2416320875,1.148551685,0.5126640229,1.002892855,0.3148912098,0.003479855674,0.01554185166,,
darknet,,,,,,,,,,,,,,,,,,,,,,,,,,,
mag_array,521.018,1573.91,,,1430.998572,3116.323948,7190.433264,8303.041963,516.7887638,3407.828321,611.496,9150.064,165.49,0.3640940042,1.099868324,0.1671899355,0.5050533982,0.07245988954,0.1895582375,1.008183684,0.4618513175,0.8520382799,0.1720108187,0.00001148105626,0.00003625596713,0.0019,0.006
matrix_add_matrix,7596.89,10058.3,,,878.540659,2793.660597,1776.307702,3154.92728,161.7904517,6804.404813,44.63,7735.22,1505.26,8.647169511,11.44887251,2.719331765,3.600401571,4.276787176,3.188124197,46.95511954,1.478204233,170.2193592,1.300325007,6.247226393,10.52163746,9403.7,15837.8
mse_array,520.588,1571.07,,,1465.345223,3009.907811,7235.261984,8326.73558,482.9674848,3120.569615,611.496,9150.064,165.49,0.3552664531,1.072150081,0.1729581212,0.5219661527,0.07195150654,0.1886777819,1.077894509,0.5034561615,0.8513350864,0.1717004384,0.00001027252402,0.00003806876548,0.0017,0.0063
mult_add_into_cpu,6553.24,11368.4,,,1553.580762,3707.866423,9376.403136,11067.56752,432.7076619,9651.143612,114.375,10531.503,2514.63,4.218152131,7.317546845,1.767388372,3.066021993,0.6989076627,1.027181445,15.14472836,1.177932943,57.29608743,1.079466055,0.004485431256,0.007867638579,11.2792,19.7842
ol_l2_cpu1,6867.44,9361.26,,,2324.221528,3144.064194,12036.0499,13730.84344,681.0926169,7129.16618,76.21,9058.155,4427.23,2.954726956,4.027696968,2.184255657,2.977439207,0.5705725765,0.6817687521,10.08297525,1.313093252,90.11205878,1.033462112,0.004421274702,0.004526848616,19.574,20.0414
ol_l2_cpu2,6015.42,8293.08,,,934.5719239,2576.406251,5590.208737,7041.861598,381.8298859,6866.736337,75.864,9579.919,190.06,6.436551159,8.873666957,2.334810358,3.218855721,1.076063575,1.177682902,15.75418851,1.207717843,79.29215438,0.8656732901,0.0003793538882,0.000430390403,0.0721,0.0818
scale_array,6244.66,7294.99,,,547.6322602,2762.126388,3959.330124,5054.988948,358.1772693,4704.105804,37.94,8500.81,3370.44,11.40301705,13.32096469,2.260816169,2.641077552,1.577201144,1.443126795,17.43455136,1.550770817,164.5930416,0.8581523408,0.003920022312,0.005822296199,13.2122,19.6237
scale_matrix,6870.23,7786.97,,,536.8185028,2834.034987,1822.038611,2809.084767,256.3951668,4779.519897,22.55,6948.11,3124.1,12.79804992,14.50577795,2.424186727,2.747661915,3.770628108,2.772066579,26.7954739,1.629236862,304.6665188,1.120732113,2.839384143,3.954258827,8870.52,12353.5
sum_array,497.016,1595.44,,,877.2912811,2588.335108,3243.043735,4356.07277,396.091783,2996.187576,574.713,9323.408,48.69,0.5665347538,1.818597807,0.1920215039,0.6163962291,0.1532560275,0.3662565077,1.254800077,0.5324900259,0.8648073038,0.171121976,0.000004107619634,0.00006777572397,0.0002,0.0033
