test_name,C++Kernel,C++E2E,C++7BKernel,C++7BE2E,NumPy,MLX,TensorflowKernel,TensorflowE2E,PyTorchKernel,PyTorchE2E,GaudiKernel,GaudiE2E,Gemmini,NP Speedup Kernel,NP Speedup E2E,MLX Speedup Kernel,MLX Speedup E2E,TF Speedup Kernel,TF Speedup E2E,PT Speedup Kernel,PT Speedup E2E,Gaudi Speedup Kernel ,Gaudi Speedup E2E,Gemmini Speedup Kernel,Gemmini Speedup E2E,C++GemminiKernel,C++GemminiE2E
Average utdsp per backend,,,,,,,,,,,,,,1.688485665,3.302688144,0.7618370217,1.622815683,0.2548543041,0.4703790049,4.527337879,0.7611230982,22.62069322,36.31344461,0.001057682845,0.001148210849,,
GMean utdsp per backend,,,,,,,,,,,,,,1.010251124,2.799367997,0.5484747094,1.519802862,0.1898438678,0.4452600965,2.85638414,0.7374946327,5.16855426,14.32187012,0.00007411292318,0.0001835734517,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speedup per backend,,,,,,,,,,,,,,26.12817693,31.9164845,10.59300811,13.30748796,4.60E+01,1.48E+00,2.44E+02,1.54E+00,240.4832801,2.828521159,0.5505143189,1.178990952,,
GMean Speedup per backend,,,,,,,,,,,,,,3.361864143,5.816481837,1.761496081,3.01889305,1.42E+00,9.54E-01,1.89E+01,1.27E+00,47.87912813,0.9863771254,0.004718366243,0.00993130326,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blend Avg per backend,,,,,,,,,,,,,,6.483425258,4.753329304,1.437877339,1.628725502,1.86E+00,6.41E-01,1.15E+01,1.64E+00,183.45672,0.9603416123,0.0905251526,0.1148753043,,
Blend Gmean per backend,,,,,,,,,,,,,,3.417094591,3.951659021,1.393701908,1.61173025,1.72E+00,6.33E-01,1.07E+01,1.56E+00,153.7428004,0.9553918077,0.0409915339,0.05273157644,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama Avg per backend,,,,,,,,,,,,,,5.347786468,8.017027454,20.10152945,23.97089362,2.47E+02,4.03E+00,1.37E+03,3.51E+00,1129.666425,4.95E+00,1.80101858,3.710264682,,
Llama Gmean per backend,,,,,,,,,,,,,,2.701178089,4.613193285,11.33931461,16.88034359,1.42E+02,3.60E+00,1.07E+03,3.31E+00,823.5641227,4.57E+00,0.03654916668,0.06230102876,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2TACO Avg per backend,,,,,,,,,,,,,,32.69653444,38.69706903,10.17705383,12.14193419,0.9606222898,0.9731285968,49.66730707,1.125205351,82.15889026,2.530060261,0.4678778806,1.044455645,,
C2TACO Gmean per backend,,,,,,,,,,,,,,3.529703073,6.012632571,1.263473308,2.155311751,0.544534197,0.7451201319,9.173749507,1.023710946,25.58558283,0.7265458262,0.00263522629,0.00589362566,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average All,52.18027075,,,,,,,,,,,,,,,,,,,,,,,,,,
GMean All,1.442380666,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average All HW,69.57093855,,,,,,,,,,,,,,,,,,,,,,,,,,
GMean All HW,0.5786866617,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average All SW,44.82876118,,,,,,,,,,,,,,,,,,,,,,,,,,
GMean All SW,2.691578186,,,,,,,,,,,,,,,,,,,,,,,,,,
